joe,http://nav.domain1|http://nav.domain2|http://nav.domain3|http://nav.domain4|http://nav.domain5|http://nav.domain6|http://nav.domain7
john,http://nav.domain1|http://nav.domain2|http://nav.domain3|http://nav.domain4|http://nav.domain5|http://nav.domain6|http://nav.domain7
jerry,http://nav.domain1|http://nav.domain2|http://nav.domain3|http://nav.domain4|http://nav.domain5|http://nav.domain6|http://nav.domain7
jeff,http://nav.domain1|http://nav.domain2|http://nav.domain3|http://nav.domain4|http://nav.domain5|http://nav.domain6|http://nav.domain7
jim,http://nav.domain1|http://nav.domain2|http://nav.domain3|http://nav.domain4|http://nav.domain5|http://nav.domain6|http://nav.domain7
joe,http://nav.domain14|http://nav.domain15|http://nav.domain16
john,http://nav.domain14|http://nav.domain15|http://nav.domain16
jerry,http://nav.domain14|http://nav.domain15|http://nav.domain16
jeff,http://nav.domain14|http://nav.domain15|http://nav.domain16
jim,http://nav.domain14|http://nav.domain15|http://nav.domain16
